SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532454,BHARTI ARTL ,A ,Q,356.75,375.15,354.65,368.40,368.40,357.05,8072,1833333,666660924.00,
532455,SHALIMAR WIR,X ,Q,8.69,8.69,8.69,8.69,8.69,8.69,2,254,2207.00,
532456,COMPUAGE INF,B ,Q,10.91,10.98,10.51,10.61,10.53,10.69,10,2582,27434.00,
532457,GULSHAN POLY,B ,Q,34.30,36.65,34.30,36.30,36.00,33.50,13,174,6082.00,
532459,AUNDEFAZE   ,X ,Q,15.45,16.00,15.45,16.00,16.00,16.25,2,107,1657.00,
532460,PONNI SUG(ER,B ,Q,106.00,106.00,101.60,101.60,101.60,107.00,5,250,25753.00,
532461,PUNJAB NATIO,A ,Q,66.60,68.30,66.15,68.00,68.00,66.60,3334,1609405,108530655.00,
532466,ORACLE FIN  ,A ,Q,3260.00,3350.00,3260.00,3290.75,3297.85,3286.60,358,13122,43120174.00,
532468,KAMAHOLDING ,B ,Q,4990.00,4990.00,4749.95,4891.75,4925.00,4598.90,70,464,2240386.00,
532475,APTECH LTD  ,B ,Q,122.45,131.65,120.75,128.50,128.60,120.30,732,31835,4058029.00,
532477,UNION BANK L,A ,Q,65.25,66.60,64.15,65.55,65.55,64.90,1296,767402,50299277.00,
532478,UNITED BREWA,A ,Q,1372.60,1415.15,1372.60,1400.20,1402.00,1408.65,398,10923,15319446.00,
532479,ISMT LTD    ,B ,Q,4.48,4.63,4.36,4.63,4.63,4.31,3,6100,27466.00,
532480,ALLAHABAD BK,A ,Q,36.50,37.60,36.30,37.15,37.15,36.70,352,82981,3082518.00,
532481,NOIDA-TOLL B,B ,Q,3.42,3.45,3.18,3.26,3.26,3.41,13,7720,25296.00,
532482,GRANULES (I),A ,Q,90.00,92.30,89.15,92.00,92.00,89.60,410,42206,3862803.00,
532483,CANARA BANK ,A ,Q,227.70,234.70,226.00,232.10,232.10,228.85,1821,339066,78673439.00,
532485,BALMER LA.IN,B ,Q,427.60,434.85,420.00,423.55,423.55,426.60,448,13913,5903175.00,
532486,POKARNA LTD ,B ,Q,125.50,134.95,125.00,130.00,130.00,125.00,17,402,50968.00,
532488,DIVI'S LAB. ,A ,Q,1571.00,1621.60,1568.00,1615.30,1615.00,1577.05,497,11677,18709086.00,
532493,ASTRA MICRO ,B ,Q,77.75,79.50,77.55,77.65,77.65,77.30,85,23649,1869755.00,
532497,RADICOKHAIT ,A ,Q,294.75,306.50,294.75,304.20,305.50,294.20,822,38971,11750983.00,
532498,SHRMCITYUN  ,A ,Q,1402.55,1427.50,1360.50,1412.45,1413.90,1404.95,34,59,82424.00,
532500,MARUTISUZUK ,A ,Q,5608.00,5844.75,5608.00,5831.75,5831.75,5668.55,8959,75526,435497703.00,
532503,RAJAPAMILLS ,X ,Q,689.00,700.00,655.00,682.80,679.90,688.05,274,3857,2641337.00,
532504,NAVIN FLUORI,A ,Q,641.50,647.50,636.60,644.50,647.50,640.20,105,1109,713246.00,
532505,UCOBANK     ,A ,Q,16.00,16.45,15.95,16.30,16.30,16.05,104,18373,298650.00,
532507,BAG FIL MED ,B ,Q,2.90,3.07,2.80,3.06,3.07,3.00,31,7149,20525.00,
532508,JSL         ,B ,Q,28.10,30.20,28.00,29.90,29.85,28.05,246,30001,888074.00,
532509,SUPRAJIT ENG,B ,Q,157.55,159.20,151.00,155.50,155.50,154.25,41,486,76125.00,
532511,EXCEL CROP. ,B ,Q,2727.00,2727.00,2690.00,2690.40,2690.00,2706.95,13,39,106135.00,
532513,TVSELE      ,B ,Q,124.95,128.95,124.50,127.50,126.45,124.35,298,8355,1056873.00,
532514,INDRA GAS   ,A ,Q,300.30,311.10,298.55,310.30,311.10,302.25,877,30807,9507085.00,
532515,TV TODAY    ,B ,Q,275.70,283.70,270.75,280.60,283.70,267.45,112,3401,941192.00,
532521,PALRED      ,B ,Q,17.15,18.00,17.15,17.80,17.25,18.05,23,3762,64896.00,
532522,PETRONET LNG,A ,Q,235.05,238.15,229.85,231.95,231.40,236.65,1167,75508,17599337.00,
532523,BIOCON LTD. ,A ,Q,229.00,229.00,223.95,225.40,225.40,228.20,1628,124490,28119875.00,
532524,PTC INDIA   ,A ,Q,53.35,55.50,53.00,55.25,55.50,53.30,259,38323,2099486.00,
532525,BANK MAHA   ,B ,Q,12.28,12.45,12.03,12.29,12.29,12.28,102,36680,452389.00,
532527,RK FORGINGS ,B ,Q,436.55,437.35,421.00,431.95,432.15,458.35,131,953,408542.00,
532528,DATAM GLOB  ,B ,Q,71.40,78.95,71.40,72.60,72.10,73.00,347,11923,897463.00,
532529,NDTV        ,B ,Q,35.30,38.50,35.30,38.00,38.00,38.45,159,13341,509045.00,
532531,STAR        ,A ,Q,397.20,415.05,389.80,410.95,410.95,402.20,1859,113613,45743140.00,
532532,JAIPRA      ,A ,Q,2.56,2.72,2.31,2.56,2.56,2.55,779,961823,2451230.00,
532538,ULTRATECH CM,A ,Q,4246.00,4366.80,4230.15,4358.15,4357.65,4245.25,2438,34503,149683349.00,
532539,MINDA IND   ,A ,Q,290.00,299.60,288.35,295.70,295.70,290.10,817,12077,3568864.00,
532540,TCS LTD.    ,A ,Q,2232.00,2251.75,2211.55,2215.45,2215.45,2248.55,4375,66361,148089942.00,
532541,NIITTECH    ,A ,Q,1200.00,1228.70,1200.00,1220.15,1227.95,1204.45,515,16797,20498366.00,
532543,GULFPETRO   ,B ,Q,39.15,44.65,39.15,43.50,43.60,38.65,64,4983,210571.00,
532548,CENTURYPLY  ,A ,Q,113.00,116.95,112.65,115.00,114.10,114.60,346,9728,1116415.00,
532553,WELENT      ,B ,Q,98.80,100.60,97.90,99.90,100.60,97.65,260,4174,413067.00,
532555,NTPC LTD    ,A ,Q,120.00,124.80,119.75,123.40,123.40,121.00,2275,279626,34155407.00,
532604,SALSTEEL    ,B ,Q,2.88,2.98,2.88,2.94,2.98,2.78,16,6557,19167.00,
532605,JBM AUTO    ,B ,Q,149.00,152.00,140.05,151.75,151.00,150.00,113,1139,171260.00,
532610,DWAR SUGAR  ,B ,Q,20.50,21.10,20.00,20.70,20.70,20.60,191,61444,1255633.00,
532612,INDOCO REM  ,B ,Q,152.35,153.00,148.00,150.05,150.05,153.15,186,884,133181.00,
532613,VIPCLOTHNG  ,B ,Q,13.35,13.50,13.20,13.22,13.22,12.70,17,11384,151094.00,
532614,IMPEX       ,T ,Q,0.40,0.40,0.40,0.40,0.40,0.42,1,1,0.00,
532616,XCHANGING   ,B ,Q,49.55,49.55,48.50,49.00,49.00,49.15,104,4720,229013.00,
532617,JETAIRWAYS  ,T ,Q,40.10,40.55,39.10,40.55,40.55,38.65,238,34534,1395234.00,
532621,MORARJETEX  ,B ,Q,11.20,12.07,11.20,12.07,12.07,11.50,9,846,10154.00,
532622,GATEWAY DIST,A ,Q,100.30,103.50,100.30,103.05,103.20,99.90,107,892,91760.00,
532626,PONDY OXIDES,X ,Q,162.15,193.20,162.10,189.55,189.55,161.00,316,12976,2344351.00,
532627,JPPOWER     ,B ,Q,1.69,1.76,1.64,1.75,1.72,1.68,263,275468,464088.00,
532628,3I INFOTECH ,B ,Q,2.33,2.34,2.26,2.27,2.27,2.23,109,107155,245806.00,
532629,MCNALLYB    ,T ,Q,3.50,3.64,3.50,3.64,3.64,3.47,55,26590,95962.00,
532630,GOKALDAS    ,B ,Q,73.80,78.90,73.80,77.80,78.90,74.60,82,3152,243249.00,
532633,ALLSEC TECH ,B ,Q,281.00,288.95,279.00,288.15,282.05,293.60,28,982,279048.00,
532636,IIFL        ,A ,Q,107.60,115.75,107.60,114.25,115.55,105.70,67,938,105340.00,
532637,MAN DRUGORG ,B ,Q,33.90,33.95,32.00,33.35,33.45,32.50,37,4270,142126.00,
532638,SHOPPER STOP,A ,Q,377.80,378.00,374.00,377.90,377.90,380.30,6,544,203553.00,
532641,NDL         ,B ,Q,23.55,28.30,23.55,28.15,28.30,23.60,110,3850,100171.00,
532642,JSWHL       ,B ,Q,2520.00,2591.85,2520.00,2581.05,2581.05,2468.45,31,323,829537.00,
532644,JK CEMENT   ,A ,Q,966.10,970.00,954.05,961.20,959.55,955.60,87,974,934059.00,
532646,UNIPLY IND  ,T ,Q,45.20,45.95,44.90,45.55,45.85,47.25,25,6610,297729.00,
532647,PROVOGUE IND,T ,Q,0.89,0.90,0.89,0.89,0.90,0.90,9,11800,10540.00,
532648,YES BANK    ,A ,Q,80.95,86.60,79.80,85.40,85.40,81.10,29868,11140461,930345700.00,
532649,NECTAR LIFE ,B ,Q,13.60,14.15,13.50,13.88,13.81,13.52,109,18179,251584.00,
532651,SPL INDS    ,B ,Q,32.00,33.85,28.15,33.00,33.00,32.40,36,2843,90868.00,
532652,KARNATAKA BK,A ,Q,81.30,82.60,79.95,80.20,80.85,81.25,696,112363,9088692.00,
532654,MCLEOD RUSSE,B ,Q,10.60,11.02,10.48,11.02,11.02,10.50,123,108607,1195494.00,
532656,FACOR ALLOYS,X ,Q,1.08,1.08,1.01,1.05,1.05,1.00,21,13727,14093.00,
532658,EON ELECT   ,B ,Q,14.40,14.60,13.62,14.30,14.30,14.00,15,1203,17249.00,
532659,IDFC        ,A ,Q,33.15,33.50,32.75,33.20,32.75,33.00,258,105904,3509394.00,
532660,VIVIMED LABS,B ,Q,16.35,18.40,16.00,16.90,16.70,16.05,169,18484,315164.00,
532661,RANE MADRAS ,B ,Q,209.50,215.00,209.50,213.15,215.00,206.75,40,537,113745.00,
532662,HT MEDIA    ,B ,Q,23.60,24.55,23.10,24.55,24.45,23.40,36,1950,46982.00,
532663,SASKEN      ,B ,Q,500.00,509.20,500.00,509.15,509.20,494.30,40,505,255992.00,
